SettlementPoint,Average Price,Month,Year
HB_HUBAVG,29.889112903225822,October,2018
HB_HUBAVG,28.131760752688177,October,2019
HB_HUBAVG,27.188138888888897,September,2016
HB_HUBAVG,24.51969444444443,September,2017
HB_HUBAVG,27.05302777777778,September,2018
HB_HUBAVG,79.4591944444445,September,2019
HB_NORTH,18.350666666666676,April,2016
HB_NORTH,21.41055555555557,April,2017
HB_NORTH,23.522916666666667,April,2018
HB_NORTH,22.99740277777778,April,2019
HB_NORTH,29.82838709677418,August,2016
HB_NORTH,26.832728494623666,August,2017
HB_NORTH,31.603051075268784,August,2018
HB_NORTH,126.52185483870967,August,2019
HB_NORTH,25.149045698924702,December,2016
HB_NORTH,20.952997311827954,December,2017
HB_NORTH,30.39826612903227,December,2018
HB_NORTH,18.7319892473118,December,2019
HB_NORTH,15.292658045977005,February,2016
HB_NORTH,19.4481994047619,February,2017
HB_NORTH,21.767023809523774,February,2018
HB_NORTH,20.864955357142883,February,2019
HB_NORTH,19.133306451612892,January,2016
HB_NORTH,22.991854838709685,January,2017
HB_NORTH,37.5859005376344,January,2018
HB_NORTH,24.33263440860215,January,2019
HB_NORTH,26.8007930107527,July,2016
HB_NORTH,30.65431451612902,July,2017
HB_NORTH,78.96845430107523,July,2018
HB_NORTH,29.781290322580663,July,2019
HB_NORTH,23.15805555555555,June,2016
HB_NORTH,25.890569444444427,June,2017
HB_NORTH,30.21188888888888,June,2018
HB_NORTH,25.175819444444464,June,2019
HB_NORTH,16.859367429340523,March,2016
HB_NORTH,21.227779273216694,March,2017
HB_NORTH,22.608008075370122,March,2018
HB_NORTH,28.103714670255727,March,2019
HB_NORTH,17.905631720430126,May,2016
HB_NORTH,23.41991935483871,May,2017
HB_NORTH,35.3061424731183,May,2018
HB_NORTH,23.97888440860211,May,2019
HB_NORTH,18.66488888888888,November,2016
HB_NORTH,21.59620833333333,November,2017
HB_NORTH,31.234888888888918,November,2018
HB_NORTH,23.628611111111105,November,2019
HB_NORTH,24.005255376344078,October,2016
HB_NORTH,21.405900537634427,October,2017
HB_NORTH,30.03416666666664,October,2018
HB_NORTH,27.995967741935484,October,2019
HB_NORTH,26.249180555555544,September,2016
HB_NORTH,23.346111111111103,September,2017
HB_NORTH,27.299638888888918,September,2018
HB_NORTH,79.91958333333324,September,2019
HB_PAN,16.54876666666666,April,2019
HB_PAN,124.9917338709677,August,2019
HB_PAN,8.81724462365592,December,2019
HB_PAN,28.384569892473117,July,2019
HB_PAN,20.731319444444456,June,2019
HB_PAN,16.414327956989226,May,2019
HB_PAN,11.661291666666664,November,2019
HB_PAN,18.71676075268816,October,2019
HB_PAN,72.85329166666678,September,2019
HB_SOUTH,18.51290277777777,April,2016
HB_SOUTH,25.6094027777778,April,2017
HB_SOUTH,24.471888888888902,April,2018
HB_SOUTH,22.463333333333342,April,2019
HB_SOUTH,31.20797043010751,August,2016
HB_SOUTH,28.315026881720453,August,2017
HB_SOUTH,31.66752688172045,August,2018
HB_SOUTH,125.93654569892459,August,2019
HB_SOUTH,25.708991935483862,December,2016
HB_SOUTH,21.99791666666665,December,2017
HB_SOUTH,30.089301075268807,December,2018
HB_SOUTH,18.95251344086021,December,2019
HB_SOUTH,15.333591954022989,February,2016
HB_SOUTH,21.079360119047603,February,2017
HB_SOUTH,22.306398809523813,February,2018
HB_SOUTH,22.125639880952377,February,2019
HB_SOUTH,19.210053763440854,January,2016
HB_SOUTH,23.624811827956986,January,2017
HB_SOUTH,39.498145161290296,January,2018
HB_SOUTH,25.086061827956964,January,2019
HB_SOUTH,26.960255376344076,July,2016
HB_SOUTH,32.12946236559143,July,2017
HB_SOUTH,78.8473790322581,July,2018
HB_SOUTH,29.637500000000028,July,2019
HB_SOUTH,24.645374999999984,June,2016
HB_SOUTH,29.65469444444443,June,2017
HB_SOUTH,30.068638888888913,June,2018
HB_SOUTH,23.904361111111104,June,2019
HB_SOUTH,16.763109017496653,March,2016
HB_SOUTH,23.680753701211305,March,2017
HB_SOUTH,22.888452220726812,March,2018
HB_SOUTH,27.13555854643338,March,2019
HB_SOUTH,18.570456989247315,May,2016
HB_SOUTH,26.49501344086023,May,2017
HB_SOUTH,34.2260752688172,May,2018
HB_SOUTH,24.059946236559167,May,2019
HB_SOUTH,20.14883333333334,November,2016
HB_SOUTH,23.97718055555557,November,2017
HB_SOUTH,29.837180555555587,November,2018
HB_SOUTH,23.718555555555533,November,2019
HB_SOUTH,26.68966397849464,October,2016
HB_SOUTH,25.56365591397848,October,2017
HB_SOUTH,29.772513440860244,October,2018
HB_SOUTH,29.468400537634416,October,2019
HB_SOUTH,27.405569444444456,September,2016
HB_SOUTH,25.51509722222224,September,2017
HB_SOUTH,27.189805555555555,September,2018
HB_SOUTH,78.90047222222212,September,2019
HB_WEST,16.86274999999999,April,2016
HB_WEST,19.996097222222236,April,2017
HB_WEST,17.156625000000005,April,2018
HB_WEST,19.551875000000013,April,2019
HB_WEST,29.786733870967733,August,2016
HB_WEST,26.817043010752666,August,2017
HB_WEST,31.560120967741923,August,2018
HB_WEST,126.31528225806449,August,2019
HB_WEST,24.86266129032258,December,2016
HB_WEST,20.33803763440862,December,2017
HB_WEST,29.9440053763441,December,2018
HB_WEST,18.136424731182792,December,2019
HB_WEST,14.988663793103447,February,2016
HB_WEST,17.616681547619056,February,2017
HB_WEST,21.087604166666658,February,2018
HB_WEST,20.491160714285716,February,2019
HB_WEST,19.126559139784952,January,2016
HB_WEST,21.901720430107524,January,2017
HB_WEST,36.051639784946275,January,2018
HB_WEST,23.881545698924697,January,2019
HB_WEST,26.543561827957014,July,2016
HB_WEST,30.29364247311829,July,2017
HB_WEST,78.51755376344079,July,2018
HB_WEST,29.455470430107532,July,2019
HB_WEST,23.141930555555533,June,2016
HB_WEST,25.331694444444455,June,2017
HB_WEST,28.277027777777782,June,2018
